Dwelling Age,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
0,0.3843,0.4893,0.2785,0.8313,0.1762,0.8115,0.6960,0.4969,1.0000,1.0000
1,0.4689,0.5025,0.2785,0.8370,0.2248,0.8115,0.6960,0.4969,1.0000,1.0332
2,0.5267,0.5160,0.3525,0.8427,0.2848,0.8115,0.6960,0.5168,1.0000,1.0664
3,0.5721,0.5298,0.4432,0.8485,0.3450,0.8115,0.6960,0.5934,1.0000,1.0996
4,0.6099,0.5440,0.5382,0.8543,0.4031,0.8115,0.6960,0.6697,1.0000,1.1328
5,0.6427,0.5586,0.6315,0.8602,0.4582,0.8115,0.6960,0.7411,1.0000,1.1660
6,0.6717,0.5736,0.7198,0.8661,0.5100,0.8115,0.6960,0.8058,1.0000,1.1992
7,0.6980,0.5890,0.8010,0.8721,0.5584,0.8115,0.6960,0.8633,1.0000,1.2324
8,0.7220,0.6048,0.8739,0.8780,0.6035,0.8115,0.7098,0.9134,1.0000,1.2656
9,0.7441,0.6210,0.9378,0.8841,0.6454,0.8115,0.7239,0.9564,1.0000,1.2988
10,0.7648,0.6376,0.9928,0.8901,0.6841,0.8115,0.7381,0.9927,1.0000,1.3320
11,0.7841,0.6547,1.0388,0.8963,0.7198,0.8274,0.7527,1.0227,1.0000,1.3652
12,0.8023,0.6723,1.0763,0.9024,0.7527,0.8424,0.7674,1.0469,1.0000,1.3984
13,0.8196,0.6903,1.1057,0.9086,0.7830,0.8564,0.7824,1.0658,1.0000,1.4316
14,0.8360,0.7089,1.1278,0.9149,0.8106,0.8698,0.7976,1.0799,1.0000,1.4648
15,0.8516,0.7279,1.1429,0.9211,0.8360,0.8824,0.8131,1.0897,1.0000,1.4980
16,0.8666,0.7474,1.1519,0.9275,0.8590,0.8944,0.8288,1.0955,1.0000,1.5312
17,0.8809,0.7674,1.1553,0.9338,0.8800,0.9059,0.8448,1.0979,1.0000,1.5644
18,0.8947,0.7880,1.1538,0.9403,0.8990,0.9170,0.8610,1.0972,1.0000,1.5976
19,0.9079,0.8092,1.1478,0.9467,0.9162,0.9275,0.8774,1.0937,1.0000,1.6308
20,0.9207,0.8309,1.1381,0.9532,0.9317,0.9377,0.8942,1.0878,1.0000,1.6640
21,0.9331,0.8532,1.1250,0.9598,0.9455,0.9475,0.9111,1.0797,1.0000,1.7285
22,0.9451,0.8760,1.1091,0.9664,0.9578,0.9570,0.9284,1.0698,1.0000,1.7930
23,0.9567,0.8995,1.0907,0.9730,0.9687,0.9661,0.9459,1.0583,1.0000,1.8575
24,0.9680,0.9237,1.0702,0.9797,0.9783,0.9750,0.9637,1.0453,1.0000,1.9220
25,0.9790,0.9484,1.0481,0.9864,0.9867,0.9836,0.9817,1.0312,1.0000,1.9865
26,0.9896,0.9739,1.0246,0.9932,0.9939,0.9919,1.0000,1.0160,1.0000,2.0510
27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.1154
28,1.0101,1.0268,0.9745,1.0069,1.0051,1.0079,1.0000,0.9832,1.0000,2.1799
29,1.0200,1.0544,0.9485,1.0138,1.0093,1.0155,1.0000,0.9659,1.0000,2.2444
30,1.0296,1.0826,0.9219,1.0207,1.0126,1.0230,1.0000,0.9481,1.0000,2.3089
31,1.0391,1.1117,0.9219,1.0278,1.0151,1.0303,1.0000,0.9481,1.0000,2.3734
32,1.0483,1.1415,0.9219,1.0348,1.0168,1.0374,1.0000,0.9481,1.0000,2.4379
33,1.0573,1.1721,0.9219,1.0419,1.0178,1.0444,1.0000,0.9481,1.0000,2.4379
34,1.0661,1.2036,0.9219,1.0491,1.0181,1.0512,1.0000,0.9481,1.0000,2.4379
35,1.0748,1.2358,0.9219,1.0563,1.0179,1.0578,1.0000,0.9481,1.0000,2.4379
36,1.0833,1.2690,0.9219,1.0635,1.0170,1.0643,1.0000,0.9481,1.0000,2.4379
37,1.0916,1.3030,0.9219,1.0709,1.0156,1.0707,1.0000,0.9481,1.0000,2.4379
38,1.0998,1.3380,0.9219,1.0782,1.0137,1.0769,1.0000,0.9481,1.0000,2.4379
39,1.1078,1.3739,0.9219,1.0856,1.0114,1.0830,1.0000,0.9481,1.0000,2.4379
40,1.1157,1.4107,0.9219,1.0931,1.0086,1.0890,1.0000,0.9481,1.0000,2.4379
41,1.1234,1.4107,0.9219,1.1006,1.0054,1.0949,1.0000,0.9481,1.0000,2.4379
42,1.1310,1.4107,0.9219,1.1081,1.0018,1.1007,1.0000,0.9481,1.0000,2.4379
43,1.1385,1.4107,0.9219,1.1157,0.9979,1.1063,1.0000,0.9481,1.0000,2.4379
44,1.1459,1.4107,0.9219,1.1234,0.9937,1.1119,1.0000,0.9481,1.0000,2.4379
45,1.1531,1.4107,0.9219,1.1311,0.9891,1.1174,1.0000,0.9481,1.0000,2.4379
46,1.1603,1.4107,0.9219,1.1389,0.9843,1.1228,1.0000,0.9481,1.0000,2.4379
47,1.1673,1.4107,0.9219,1.1467,0.9793,1.1281,1.0000,0.9481,1.0000,2.4379
48,1.1742,1.4107,0.9219,1.1546,0.9740,1.1333,1.0000,0.9481,1.0000,2.4379
49,1.1811,1.4107,0.9219,1.1625,0.9685,1.1384,1.0000,0.9481,1.0000,2.4379
50,1.1878,1.4107,0.9219,1.1705,0.9628,1.1435,1.0000,0.9481,1.0000,2.4379
51,1.1944,1.4107,0.9219,1.1786,0.9569,1.1484,1.0000,0.9481,1.0000,2.4379
52,1.2010,1.4107,0.9219,1.1866,0.9508,1.1533,1.0000,0.9481,1.0000,2.4379
53,1.2074,1.4107,0.9219,1.1948,0.9446,1.1582,1.0000,0.9481,1.0000,2.4379
54,1.2138,1.4107,0.9219,1.2030,0.9383,1.1629,1.0000,0.9481,1.0000,2.4379
