Insured Age,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
18,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
19,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
20,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
21,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
22,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
23,1.1648,1.0000,1.0000,1.1291,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
24,1.1648,1.0000,1.0000,1.1244,1.2161,1.3535,1.0000,1.0000,1.0000,1.0000
25,1.1648,1.0000,1.0000,1.1197,1.2161,1.3320,1.0000,1.0000,1.0000,1.0000
26,1.1648,1.0000,1.0000,1.1150,1.2161,1.3117,1.0000,1.0000,1.0000,1.0000
27,1.1648,1.0000,1.0000,1.1104,1.2161,1.2925,1.0000,1.0000,1.0000,1.0000
28,1.1648,1.0000,1.0000,1.1057,1.2161,1.2742,1.0000,1.0000,1.0000,1.0000
29,1.1648,1.0000,1.0000,1.1011,1.2161,1.2568,1.0000,1.0000,1.0000,1.0000
30,1.1648,1.0000,1.0000,1.0965,1.2161,1.2403,1.0000,1.0000,1.0000,1.0000
31,1.1511,1.0000,1.0000,1.0919,1.2102,1.2244,1.0000,1.0000,1.0000,1.0000
32,1.1381,1.0000,1.0000,1.0874,1.2035,1.2093,1.0000,1.0000,1.0000,1.0000
33,1.1258,1.0000,1.0000,1.0828,1.1961,1.1948,1.0000,1.0000,1.0000,1.0000
34,1.1142,1.0000,1.0000,1.0783,1.1879,1.1810,1.0000,1.0000,1.0000,1.0000
35,1.1031,1.0000,1.0000,1.0738,1.1792,1.1676,1.0000,1.0000,1.0000,1.0000
36,1.0927,1.0000,1.0000,1.0693,1.1699,1.1548,1.0000,1.0000,1.0000,1.0000
37,1.0829,1.0000,1.0000,1.0648,1.1602,1.1425,1.0000,1.0000,1.0000,1.0000
