Peril,Roof Type,Impact Resistant Class Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30+
Other Perils,Aluminum,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Aluminum,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Aluminum,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Asbestos,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Asbestos,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Asbestos,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Cloth,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Cloth,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Cloth,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Concrete Tile,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Concrete Tile,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Concrete Tile,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Shingle,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Shingle,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Shingle,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Clay Tile,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Clay Tile,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Clay Tile,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Over Wood,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Over Wood,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Composition Over Wood,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiberglass Shingle,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiberglass Shingle,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiberglass Shingle,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiber Cement,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiber Cement,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Fiber Cement,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Resin Formed Shingle,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Resin Formed Shingle,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Resin Formed Shingle,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
Other Perils,Foam,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071,1.0141,1.0208,1.0274,1.0337,1.0398,1.0457,1.0513,1.0567,1.0619,1.0669,1.0716,1.0761,1.0803,1.0843,1.088,1.0915,1.0947,1.0977,1.1004,1.1028,1.105,1.1069,1.1085,1.1098
