Peril,Min sq ft,Max sq ft,1,1.5,2,2.5,3+
Other Perils,0,499,1.0,1.0,1.0,1.0,1.0
Other Perils,500,599,1.0,1.0,1.0,1.0,1.0
Other Perils,600,699,1.0,1.0,1.0,1.0,1.0
Other Perils,700,799,1.0,1.0,1.0,1.0,1.0
Other Perils,800,899,1.0,1.0,1.0,1.0,1.0
Other Perils,900,999,1.0,1.0,1.0,1.0,1.0
Other Perils,1000,1099,1.0,1.0,1.0,1.0,1.0
Other Perils,1100,1199,1.0,1.0,1.0,1.0,1.0
Other Perils,1200,1299,1.0,1.0,1.0,1.0,1.0
Other Perils,1300,1399,1.0,1.0,1.0,1.0,1.0
Other Perils,1400,1499,1.0,1.0,1.0,1.0,1.0
Other Perils,1500,1599,1.0,1.0,1.0,1.0,1.0
Other Perils,1600,1699,1.0,1.0,1.0,1.0,1.0
Other Perils,1700,1799,1.0,1.0,1.0,1.0,1.0
Other Perils,1800,1899,1.0,1.0,1.0,1.0,1.0
Other Perils,1900,1999,1.0,1.0,1.0,1.0,1.0
Other Perils,2000,2099,1.0,1.0,1.0,1.0,1.0
Other Perils,2100,2199,1.0,1.0,1.0,1.0,1.0
Other Perils,2200,2299,1.0,1.0,1.0,1.0,1.0
Other Perils,2300,2399,1.0,1.0,1.0,1.0,1.0
Other Perils,2400,2499,1.0,1.0,1.0,1.0,1.0
Other Perils,2500,2599,1.0,1.0,1.0,1.0,1.0
Other Perils,2600,2699,1.0,1.0,1.0,1.0,1.0
Other Perils,2700,2799,1.0,1.0,1.0,1.0,1.0
Other Perils,2800,2899,1.0,1.0,1.0,1.0,1.0
Other Perils,2900,2999,1.0,1.0,1.0,1.0,1.0
Other Perils,3000,3099,1.0,1.0,1.0,1.0,1.0
Other Perils,3100,3199,1.0,1.0,1.0,1.0,1.0
Other Perils,3200,3299,1.0,1.0,1.0,1.0,1.0
Other Perils,3300,3399,1.0,1.0,1.0,1.0,1.0
Other Perils,3400,3499,1.0,1.0,1.0,1.0,1.0
Other Perils,3500,3599,1.0,1.0,1.0,1.0,1.0
Other Perils,3600,3699,1.0,1.0,1.0,1.0,1.0
Other Perils,3700,3799,1.0,1.0,1.0,1.0,1.0
Other Perils,3800,3899,1.0,1.0,1.0,1.0,1.0
Other Perils,3900,3999,1.0,1.0,1.0,1.0,1.0
Other Perils,4000,4099,1.0,1.0,1.0,1.0,1.0
Other Perils,4100,4199,1.0,1.0,1.0,1.0,1.0
Other Perils,4200,4299,1.0,1.0,1.0,1.0,1.0
Other Perils,4300,4399,1.0,1.0,1.0,1.0,1.0
Other Perils,4400,4499,1.0,1.0,1.0,1.0,1.0
Other Perils,4500,4599,1.0,1.0,1.0,1.0,1.0
Other Perils,4600,4699,1.0,1.0,1.0,1.0,1.0
Other Perils,4700,4799,1.0,1.0,1.0,1.0,1.0
Other Perils,4800,4899,1.0,1.0,1.0,1.0,1.0
Other Perils,4900,4999,1.0,1.0,1.0,1.0,1.0
Other Perils,5000,5499,1.0,1.0,1.0,1.0,1.0
Other Perils,5500,5999,1.0,1.0,1.0,1.0,1.0
Other Perils,6000,6499,1.0,1.0,1.0,1.0,1.0
