Rating Area,Rating Area Group
1,A5
2,A5
3,A5
4,A3
5,A3
6,A4
7,A3
8,A4
9,A4
10,A4
11,A5
12,A4
13,A4
14,A4
15,A2
16,A2
17,A4
18,A4
19,A4
20,A4
21,A4
22,A4
23,A4
24,A4
25,A4
26,A4
27,A4
28,A4
29,A4
30,A4
31,A4
32,A4
33,A4
34,A4
35,A4
36,A4
37,A4
38,A4
39,A4
40,A4
41,A4
42,A4
43,A4
44,A4
45,A4
46,A4
47,A4
48,A4
49,A4
50,A4
51,A4
52,A4
53,A4
54,A4
55,A5
56,A4
57,A2
58,A4
59,A5
60,A4
61,A4
62,A5
63,A5
64,A4
65,A4
66,A4
67,A4
68,A4
69,A3
70,A3
71,A4
72,A3
73,A4
74,A4
75,A5
76,A3
77,A4
78,A5
79,A4
80,A5
81,A5
82,A5
83,A3
84,A3
85,A5
86,A3
87,A3
88,A4
89,A3
90,A5
91,A3
92,A4
93,A5
94,A3
95,A3
96,A3
97,A3
98,A5
99,A3
100,A3
101,A3
102,A3
103,A3
104,A3
105,A5
106,A3
107,A3
108,A3
109,A3
110,A5
111,A4
112,A3
113,A3
114,A3
115,A3
116,A3
117,A3
118,A3
119,A3
120,A4
121,A5
122,A3
123,A3
124,A4
125,A3
126,A3
127,A3
128,A3
129,A3
130,A4
131,A3
132,A3
133,A3
134,A3
135,A4
136,A3
137,A4
138,A3
139,A4
140,A3
141,A4
142,A3
143,A3
144,A3
145,A3
146,A4
147,A4
148,A5
149,A4
150,A4
151,A4
152,A3
153,A4
154,A3
155,A3
156,A4
157,A4
158,A3
159,A2
160,A4
161,A2
162,A3
163,A2
164,A3
165,A4
166,A4
167,A4
168,A4
169,A2
170,A2
171,A2
172,A3
173,A2
174,A4
175,A2
176,A2
177,A2
178,A4
179,A2
180,A2
181,A2
182,A2
183,A2
184,A2
185,A2
186,A2
187,A4
188,A2
189,A2
190,A3
191,A4
192,A3
193,A4
194,A3
195,A2
196,A4
197,A2
198,A4
199,A4
200,A4
201,A4
202,A4
203,A4
204,A4
205,A4
206,A4
207,A4
208,A4
209,A2
210,A2
211,A2
212,A4
213,A2
214,A3
215,A3
216,A3
217,A3
218,A2
219,A3
220,A4
221,A3
222,A2
223,A4
224,A4
225,A1
226,A3
227,A2
228,A3
229,A1
230,A2
231,A2
232,A2
233,A4
234,A2
235,A2
236,A2
237,A2
238,A5
239,A3
240,A2
241,A2
242,A3
243,A3
244,A2
245,A2
246,A2
247,A2
248,A3
249,A2
250,A2
251,A2
252,A2
253,A3
254,A3
255,A4
256,A2
257,A2
258,A2
259,A2
260,A3
261,A2
262,A3
263,A2
264,A3
265,A2
266,A3
267,A3
268,A3
269,A3
270,A3
271,A2
272,A3
273,A2
274,A3
275,A2
276,A3
