Peril,Amount of Insurance,$500,$1000,$2000,$5000,$10000,1%,2%,3%,5%,10%
Other Perils,"$10,000",0.1502,0.1345,0.1263,0.1212,0.1195,0.2443,0.1916,,,
Other Perils,"$50,000",0.5209,0.4085,0.3363,0.2868,0.2693,0.5209,0.4085,,,
Other Perils,"$100,000",0.9204,0.7217,0.5660,0.4439,0.3974,0.7217,0.5660,,,
Other Perils,"$150,000",1.2612,1.0088,0.7877,0.5899,0.5094,0.8734,0.6849,,,
Other Perils,"$200,000",1.5489,1.2752,1.0000,0.7316,0.6150,1.0000,0.7842,,,
Other Perils,"$250,000",1.8061,1.5182,1.2044,0.8710,0.7171,1.1107,0.8710,,,
Other Perils,"$300,000",2.0301,1.7474,1.3977,1.0078,0.8174,1.2102,0.9490,,,
Other Perils,"$350,000",2.2556,1.9438,1.5888,1.1436,0.9156,1.3012,1.0204,,,
Other Perils,"$400,000",2.4292,2.1461,1.7668,1.2777,1.0136,1.3855,1.0865,,,
Other Perils,"$450,000",2.6280,2.3344,1.9447,1.4098,1.1109,1.4645,1.1484,,,
Other Perils,"$500,000",2.7947,2.5024,2.1035,1.5389,1.2068,1.5389,1.2068,,,
Other Perils,"$600,000",3.1207,2.8128,2.4211,1.7942,1.3963,1.6767,1.3149,,,
Other Perils,"$750,000",3.5102,3.2651,2.8321,2.1510,1.6796,1.8623,1.4604,,,
Other Perils,"$1,000,000",4.1246,3.8722,3.4672,2.7189,2.1322,2.1322,1.6721,,,
Other Perils,"$1,500,000",5.1279,4.8635,4.5239,3.7258,2.9803,2.5803,2.0235,,,
Other Perils,"$2,000,000",5.8710,5.7148,5.3651,4.5759,3.7672,2.9542,2.3167,,,
Other Perils,"$3,000,000",7.2042,7.1049,6.7385,5.9975,5.1622,3.5751,2.8036,,,
Fire,"$10,000",0.0665,0.0611,0.0535,0.0360,0.0167,0.0735,0.0712,,,
Fire,"$50,000",0.2915,0.2823,0.2692,0.2424,0.2123,0.2915,0.2823,,,
Fire,"$100,000",0.5385,0.5276,0.5111,0.4776,0.4388,0.5276,0.5111,,,
Fire,"$150,000",0.7682,0.7566,0.7388,0.6998,0.6575,0.7466,0.7232,,,
Fire,"$200,000",0.9867,0.9748,0.9551,0.9135,0.8646,0.9551,0.9252,,,
Fire,"$250,000",1.1977,1.1858,1.1651,1.1200,1.0678,1.1562,1.1200,,,
Fire,"$300,000",1.4025,1.3906,1.3695,1.3233,1.2669,1.3515,1.3092,,,
Fire,"$350,000",1.6024,1.5905,1.5692,1.5215,1.4616,1.5421,1.4939,,,
Fire,"$400,000",1.7982,1.7862,1.7646,1.7154,1.6537,1.7289,1.6748,,,
Fire,"$450,000",1.9905,1.9786,1.9572,1.9057,1.8421,1.9124,1.8525,,,
