"P & C Collateral (Non-Auto, Non-Homeowners)",Enterprise Collateral,Enterprise Tenure,Business Type,RELATIONSHIP
PA,EA,CA,BA,ASA
PA,EA,CA,BB,ASA
PA,EA,CA,BC,ASA
PA,EA,CA,BD,ASA
PA,EA,CB,BA,ASA
PA,EA,CB,BB,ASA
PA,EA,CB,BC,ASA
PA,EA,CB,BD,ASA
PA,EA,CC,BD,ASC
PA,EA,CD,BA,ASD
PA,EA,CD,BB,ASD
PA,EA,CD,BC,ASD
PA,EA,CD,BD,ASD
PA,EA,CE,BA,ASE
PA,EA,CE,BB,ASE
PA,EA,CE,BC,ASE
PA,EA,CE,BD,ASE
PA,EA,CF,BA,ASF
PA,EA,CF,BB,ASF
PA,EA,CF,BC,ASF
PA,EA,CF,BD,ASF
PA,EA,CG,BA,ASG
PA,EA,CG,BB,ASG
PA,EA,CG,BC,ASG
PA,EA,CG,BD,ASG
PA,EB,CA,BA,ASB
PA,EB,CA,BB,ASB
PA,EB,CA,BC,ASB
PA,EB,CA,BD,ASB
PA,EB,CB,BA,ASC
PA,EB,CB,BB,ASC
PA,EB,CB,BC,ASC
PA,EB,CB,BD,ASC
PA,EB,CC,BA,ASD
PA,EB,CC,BB,ASD
PA,EB,CC,BC,ASD
PA,EB,CC,BD,ASD
PA,EB,CD,BA,ASE
PA,EB,CD,BB,ASE
PA,EB,CD,BC,ASE
PA,EB,CD,BD,ASE
PA,EB,CE,BA,ASF
PA,EB,CE,BB,ASF
PA,EB,CE,BC,ASF
PA,EB,CE,BD,ASF
PA,EB,CF,BA,ASG
PA,EB,CF,BB,ASG
PA,EB,CF,BC,ASG
PA,EB,CF,BD,ASG
PA,EB,CG,BA,ASH
PA,EB,CG,BB,ASH
PA,EB,CG,BC,ASH
PA,EB,CG,BD,ASH
PA,EC,CA,BA,ASB
PA,EC,CA,BB,ASB
PA,EC,CA,BC,ASB
PA,EC,CA,BD,ASB
PA,EC,CB,BA,ASC
PA,EC,CB,BB,ASC
PA,EC,CB,BC,ASC
PA,EC,CB,BD,ASC
PA,EC,CC,BA,ASD
PA,EC,CC,BB,ASD
PA,EC,CC,BC,ASD
PA,EC,CC,BD,ASD
PA,EC,CD,BA,ASE
PA,EC,CD,BB,ASE
PA,EC,CD,BC,ASE
PA,EC,CD,BD,ASE
PA,EC,CE,BA,ASF
PA,EC,CE,BB,ASF
PA,EC,CE,BC,ASF
PA,EC,CE,BD,ASF
PA,EC,CF,BA,ASG
PA,EC,CF,BB,ASG
PA,EC,CF,BC,ASG
PA,EC,CF,BD,ASG
PA,EC,CG,BA,ASH
PA,EC,CG,BB,ASH
PA,EC,CG,BC,ASH
PA,EC,CG,BD,ASH
PA,ED,CA,BA,ASB
PA,ED,CA,BB,ASB
PA,ED,CA,BC,ASB
PA,ED,CA,BD,ASB
PA,ED,CB,BA,ASC
PA,ED,CB,BB,ASC
PA,ED,CB,BC,ASC
PA,ED,CB,BD,ASC
PA,ED,CC,BA,ASD
PA,ED,CC,BB,ASD
PA,ED,CC,BC,ASD
PA,ED,CC,BD,ASD
PA,ED,CD,BA,ASE
PA,ED,CD,BB,ASE
PA,ED,CD,BC,ASE
PA,ED,CD,BD,ASE
PA,ED,CE,BA,ASF
PA,ED,CE,BB,ASF
PA,ED,CE,BC,ASF
PA,ED,CE,BD,ASF
PA,ED,CF,BA,ASG
PA,ED,CF,BB,ASG
PA,ED,CF,BC,ASG
PA,ED,CF,BD,ASG
PA,ED,CG,BA,ASH
PA,ED,CG,BB,ASH
PA,ED,CG,BC,ASH
PA,ED,CG,BD,ASH
PA,EE,CA,BA,ASC
PA,EE,CA,BB,ASC
PA,EE,CA,BC,ASC
PA,EE,CA,BD,ASC
PA,EE,CB,BA,ASD
PA,EE,CB,BB,ASD
PA,EE,CB,BC,ASD
PA,EE,CB,BD,ASD
PA,EE,CC,BA,ASE
PA,EE,CC,BB,ASE
PA,EE,CC,BC,ASE
PA,EE,CC,BD,ASE
PA,EE,CD,BA,ASF
PA,EE,CD,BB,ASF
PA,EE,CD,BC,ASF
PA,EE,CD,BD,ASF
PA,EE,CE,BA,ASG
PA,EE,CE,BB,ASG
PA,EE,CE,BC,ASG
PA,EE,CE,BD,ASG
PA,EE,CF,BA,ASH
PA,EE,CF,BB,ASH
PA,EE,CF,BC,ASH
PA,EE,CF,BD,ASH
PA,EE,CG,BA,ASI
PA,EE,CG,BB,ASI
PA,EE,CG,BC,ASI
PA,EE,CG,BD,ASI
PA,EF,CA,BA,ASC
PA,EF,CA,BB,ASC
PA,EF,CA,BC,ASC
PA,EF,CA,BD,ASC
PA,EF,CB,BA,ASD
PA,EF,CB,BB,ASD
PA,EF,CB,BC,ASD
PA,EF,CB,BD,ASD
PA,EF,CC,BA,ASE
PA,EF,CC,BB,ASE
PA,EF,CC,BC,ASE
PA,EF,CC,BD,ASE
PA,EF,CD,BA,ASF
PA,EF,CD,BB,ASF
PA,EF,CD,BC,ASF
PA,EF,CD,BD,ASF
PA,EF,CE,BA,ASG
PA,EF,CE,BB,ASG
PA,EF,CE,BC,ASG
PA,EF,CE,BD,ASG
PA,EF,CF,BA,ASH
PA,EF,CF,BB,ASH
PA,EF,CF,BC,ASH
PA,EF,CF,BD,ASH
PA,EF,CG,BA,ASI
PA,EF,CG,BB,ASI
PA,EF,CG,BC,ASI
PA,EF,CG,BD,ASI
PA,EG,CA,BA,ASC
PA,EG,CA,BB,ASC
PA,EG,CA,BC,ASC
PA,EG,CA,BD,ASC
PA,EG,CB,BA,ASD
PA,EG,CB,BB,ASD
PA,EG,CB,BC,ASD
PA,EG,CB,BD,ASD
PA,EG,CC,BA,ASE
PA,EG,CC,BB,ASE
PA,EG,CC,BC,ASE
PA,EG,CC,BD,ASE
PA,EG,CD,BA,ASF
PA,EG,CD,BB,ASF
PA,EG,CD,BC,ASF
